time,cpu@tsung_controller@ip-172-31-42-147 
0,2.565229478244521 
34,2.556735100893475 
44,0.5497251374312844 
54,0.5497251374312844 
64,0.5497251374312844 
74,0.5497251374312844 
84,0.5497251374312844 
94,0.5497251374312844 
104,0.5497251374312844 
114,0.5497251374312844 
124,0.5497251374312844 
134,0.5497251374312844 
144,0.5497251374312844 
154,0.5497251374312844 
164,0.5497251374312844 
174,0.5497251374312844 
184,0.5497251374312844 
194,0.5497251374312844 
204,0.5497251374312844 
214,0.5497251374312844 
224,0.5497251374312844 
232,0.5497251374312844 
